"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"TLCD2","1557275_a_at","TLCD2",0.0467303273392877,-2.06344413225396,-0.136529425783088,2.30601231175758,0.0685925313259384,33,0.298817505119922
"ADAM15","217007_s_at","ADAM15",0.0467454106143275,-2.06329398312651,-0.0798432464816168,2.64227826178788,0.0401162525839922,33,0.298817505119922
"BAMBI","203304_at","BAMBI",0.0467542806008626,2.06320570515387,0.313798363238971,3.39591289921212,0.157670855994346,33,0.298817505119922
"VAC14","218169_at","VAC14",0.046757749903371,-2.0631711811462,-0.183545592496324,3.21294224736364,0.0922257039431689,33,0.298817505119922
"TRPV6","206827_s_at","TRPV6",0.0468208542181779,-2.06254360476847,-0.106495691088235,1.96078878287879,0.053526910692998,33,0.298961969270478
"ANO5","229313_at","ANO5",0.0468223712407429,-2.06252852703304,-0.235643160437499,2.45424779830303,0.118439933880051,33,0.298961969270478
"IL13RA1","210904_s_at","IL13RA1",0.0468267868692077,-2.06248464240414,-0.159424220069853,2.93205051166667,0.0801321617644391,33,0.298961969270478
"TANK","207616_s_at","TANK",0.0468376137636104,-2.0623770549301,-0.100174607830884,3.46625428712121,0.0503538711313113,33,0.298961969270478
"CATSPERE","233578_at","CATSPERE",0.0468940675301695,-2.0618164243199,-0.0731410713529419,2.08800930727273,0.0367751628081595,33,0.299230858651876
"MYO3A","244364_at","MYO3A",0.0469317732608081,-2.06144230671479,-0.124740436477941,2.21221679327273,0.0627305876618865,33,0.29937998917287
"YBX1","216940_x_at","YBX1",0.0469614262562259,-2.06114827406513,-0.106925599860295,2.22982428884848,0.0537793738942202,33,0.299477675530161
"SBDS|SBDSP1","222669_s_at","SBDS|SBDSP1",0.0470020431246194,-2.06074579061125,-0.0967166196617644,3.69083331409091,0.0486541588993844,33,0.299645198613454
"LOC285097","1556474_a_at","LOC285097",0.0470268048663677,-2.06050056973701,-0.127909934867648,2.198695361,0.0643538924402492,33,0.299711571447693
"GRIN1","205915_x_at","GRIN1",0.0470779803858161,-2.05999412671444,-0.0808008734154413,2.22558898869697,0.0406624324298511,33,0.299946192909631
"ACAD10","219986_s_at","ACAD10",0.0471176994343647,-2.05960139235174,-0.0884394203749994,2.7575561089697,0.0445149604944264,33,0.300041261941131
"FAM234B","213234_at","FAM234B",0.0471216346261388,-2.05956249776005,-0.180851379838235,3.23423550490909,0.0910311717240283,33,0.300041261941131
"CNTN2","230045_at","CNTN2",0.0471582365442514,-2.05920086884689,-0.0555705143124996,2.10235085066667,0.0279762168036995,33,0.300182801044404
"INPP5F","203607_at","INPP5F",0.0471902035261477,-2.05888523494872,-0.172176097113971,3.01371134763636,0.0866929938960884,33,0.300244532282598
"TSPO2","215449_at","TSPO2",0.0471966865924716,2.05882124569342,0.0667774610698526,2.14160987306061,0.0336243999686572,33,0.300244532282598
"LINC01020","1557877_s_at","LINC01020",0.047232315992781,2.05846971358707,0.0628965120110299,2.07781911627273,0.0316756373220368,33,0.300379695343858
"ERO1A","225750_at","ERO1A",0.047264107864785,2.05815624041264,0.185425332198528,3.54807965545455,0.0933972323682356,33,0.300476231826432
"FICD","219910_at","FICD",0.0472762699440581,-2.05803636924002,-0.157052900871324,3.0567166879697,0.079110876946389,33,0.300476231826432
"BAP1","201419_at","BAP1",0.0472907161566425,2.05789402050582,0.100449094897058,3.26548470918182,0.0506018394143084,33,0.30047660691557
